id,iata,name
194,FRINH,Banassac La Canourgue
195,FRIMK,Magalas
196,FRIMC,Ceilhes Roqueredonde
197,FRIMG,Le Bousquet D'Orb
198,FRINJ,Campagnac St Geniez
199,FRLMR,Le Monastier
200,FRINN,St Rome De Cernon
201,FRLDE,Lourdes
202,FRADI,Dunkerque
203,FRXBV,Beaune
204,FRXLE,Lens
205,FRAMA,Albi Madeleine
206,FRURD,Rouen Rive Droite
207,FRFST,St Christophe
208,FRRCO,Rochefort
209,FRXST,Saintes
210,FRXVT,Vitre
211,FRHZK,Hazebrouck
212,ESGRO,Girona
213,ESFIR,Figueres Vila Tgv
214,FRHHD,St Etienne Chateaucreux
215,FRSBG,Sarrebourg
216,FREGR,Pornichet
217,FREGS,Le Pouliguen
218,FRCDC,Capdenac
219,FRSNE,Saverne
220,FRFSB,Gramat
221,FRVZD,Viviez Decazeville
222,CHAJP,Basel Sbb
223,FRRNT,Remiremont
224,FRCKH,Croix Wasquehal
225,FRFAC,Facture Biganos
226,FRHLB,Issoire
227,FRHLE,Brassac Les Mines Ste Florine
228,CHAJD,Zuerich Hb
229,FRXVS,Valenciennes
230,FRHMY,Massiac Blesle
231,FRNEU,Neussargues
232,FRIMW,St Flour Chaudes Aigues
233,FRINB,St Chely D'Apcher
234,FRIMH,Bedarieux
235,FRSVC,Severac Le Chateau
236,FRMAU,Millau
237,DEFRS,Frankfurt Main Sued
238,FRINC,Aumont Aubrac
239,FRINE,Marvejols
240,FRXTS,Thonon Les Bains
241,FRXEB,Evian Les Bains
242,FRIGS,Chorges
243,FRIHC,L'Argentiere Les Ecrins   (05)
244,CHAJF,Lausanne
245,FRMTJ,Montrejeau Gourdan Polignan
246,ITMPG,Milano P Garibaldi
247,FRBDT,Rethel
248,FRXCZ,Charleville Mezieres
249,ESBST,Barcelona Sants
250,ITOCS,Oulx Cesana Clav Sestriere
251,DEAGB,Augsburg Hbf
252,ITTRS,Torino Porta Susa
253,DEQUL,Ulm Hbf
254,FRLSO,Les Sables D'Olonne
255,FRFPH,St Gaudens
256,FRADP,Roubaix
257,FRLAI,Lannion
258,FRFPU,Saverdun
259,FRFQG,Andorre - L'Hospitalet
260,FRFQH,Merens Les Vals
261,FRBFO,Vitry Le Francois Gare
262,FRXCR,Chalons En Champagne
263,FRFRA,Frasne
264,CHAGL,Vallorbe
265,FRMCD,Mouchard
266,DEZCC,Baden Baden
267,FRXSJ,St Quentin
268,FREFN,Ancenis
269,FRLNZ,Lannemezan
270,FRSTH,Calais Frethun
271,DEBEG,Muenchen Hbf
272,FRXCE,Cerbere
273,FRXBQ,Blois
274,FRXBH,Bethune
275,FRIOG,Elne
276,FRXPV,Port Vendres Ville
277,FRCRE,Crest
278,FRXBC,Briancon
279,FRFQF,Porte Puymorens
280,FRPMS,Pamiers
281,FRXSQ,Selestat
282,FRFIG,Figeac
283,FRFSA,Rocamadour Padirac
284,FRFSQ,Aubin
285,FRIGZ,Montdauphin Guillestre
286,FRAEA,Calais Ville
287,FRXAC,Arcachon
288,FRRDZ,Rodez
289,FRGBG,Laroquebrou
290,FRBXB,Bretenoux Biars
291,FRAUR,Aurillac
292,FRARM,Argeles Sur Mer
293,FRJSY,Juvisy
294,DESGT,Stuttgart Hbf
295,FRGAT,Gap
296,FRDIE,Die
297,FRVDY,Veynes Devoluy
298,FRXHE,Hyeres
299,FRFWF,Naucelle
300,FRIGV,Embrun
301,FRFPW,Auterive
302,FRFQK,Les Cabannes
303,FRXBU,Banyuls Sur Mer
304,FRXCU,Collioure
305,FRFSR,Cransac
306,FRSZE,Saincaize
307,FRIFP,Luc En Diois
308,FRFQM,Tarascon Sur Ariege
309,FRXFX,Foix
310,FRXTE,Latour De Carol Enveitg
311,FRXLT,Ax Les Thermes
312,FRAFJ,Albi Ville
313,FRFWA,Carmaux
314,FRFQI,Luzenac Garanou
315,FRFCJ,La Teste
